idmensaje,idusuarioremitente,idusuarioreceptor,fechamensaje,contenidomensaje
1221,62,117,2022-01-06,¡Esa fue una gran jugada!
1222,62,553,2022-01-11,Agregame para jugar juntos :)
1223,62,995,2022-01-30,Hola, ¿cómo estás?
1224,62,584,2022-01-20,¿Has visto el último tráiler?
1225,62,312,2022-01-01,Que perfil mas chulo
1226,62,324,2022-01-06,¿Qué te parece si creamos un torneo?
1227,62,999,2022-01-18,¡Eso fue épico!
1228,62,114,2022-01-02,¿Qué te parece si creamos una estrategia?
1229,62,126,2022-01-16,No me carga tu descripcion :(
1230,62,500,2022-01-26,Muy cringe tu foto de perfil
1231,62,198,2022-01-04,¿Cuántas horas has jugado?
1232,62,733,2022-01-15,Como es posible que tengas tantas horas O:
1233,62,656,2022-01-03,¿Qué piensas de las últimas actualizaciones?
1234,62,991,2022-01-26,¿Has visto el último tráiler?
1235,62,825,2022-01-11,¿Qué te parece si jugamos en modo historia?
1236,62,385,2022-01-28,Agregame para jugar juntos :)
1237,62,918,2022-01-26,Hola, ¿cómo estás?
1238,62,967,2022-01-26,¿Cómo has estado?
1239,62,117,2022-01-06,¿Quieres jugar una partida?
1240,62,725,2022-01-20,¿Qué te parece si creamos un torneo?
1241,63,679,2022-01-01,¿Qué piensas de las habilidades especiales?
1242,63,457,2022-01-12,¿Te gustaría una revancha?
1243,63,638,2022-01-26,Me intercambias cromos?
1244,63,252,2022-01-01,¿Qué te parece si jugamos en modo historia?
1245,63,510,2022-01-26,¿Te gustaría unirte a nuestro grupo de
1246,63,647,2022-01-12,¿Cuál es tu mapa favorito?
1247,63,464,2022-01-02,¿Qué piensas de las últimas actualizaciones?
1248,63,218,2022-01-09,No me carga tu descripcion :(
1249,63,263,2022-01-14,¿Qué piensas de las últimas actualizaciones?
1250,63,584,2022-01-25,¿Te gustaría unirte a nuestro clan?
1251,63,231,2022-01-01,¡No puedo creer que ganamos esa partida!
1252,63,392,2022-01-07,¡No puedo creer que ganamos esa partida!
1253,63,989,2022-01-12,No jugueis con el le faltan manos
1254,63,313,2022-01-12,¿Quieres jugar de nuevo?
1255,63,949,2022-01-07,¿Te gustaría jugar en equipo?
1256,63,431,2022-01-25,¡Eso fue impresionante!
1257,63,625,2022-01-22,¿Quieres jugar una partida?
1258,63,508,2022-01-27,¿Qué te parece si jugamos en equipo?
1259,63,555,2022-01-30,¡No puedo esperar para jugar de nuevo!
1260,63,620,2022-01-14,Gracias por el carreo
1261,64,195,2022-01-07,+rep divertido jugar con el :D
1262,64,461,2022-01-04,¿Qué piensas de los gráficos del juego?
1263,64,403,2022-01-20,Muy cringe tu foto de perfil
1264,64,620,2022-01-27,Hola, ¿cómo estás?
1265,64,357,2022-01-21,¡Eso estuvo muy cerca!
1266,64,681,2022-01-10,No me carga tu descripcion :(
1267,64,506,2022-01-24,¿Cuál es tu personaje más odiado?
1268,64,375,2022-01-16,Echemonos algunas partidas al CSGO
1269,64,174,2022-01-27,Agregame para jugar juntos :)
1270,64,663,2022-01-15,Agregame para jugar juntos :)
1271,64,519,2022-01-09,¡Eso estuvo muy cerca!
1272,64,914,2022-01-09,GG
1273,64,263,2022-01-12,¿Has probado el nuevo personaje?
1274,64,881,2022-01-06,¡No puedo esperar para jugar de nuevo!
1275,64,678,2022-01-21,¡No puedo esperar para jugar de nuevo!
1276,64,604,2022-01-04,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
1277,64,991,2022-01-06,¿Has visto la última actualización?
1278,64,465,2022-01-09,¿Cuál es tu mapa favorito?
1279,64,270,2022-01-15,Como es posible que tengas tantas horas O:
1280,64,985,2022-01-16,¡Eso estuvo muy cerca!
1281,65,758,2022-01-13,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1282,65,5,2022-01-04,¿Qué te parece si creamos un torneo?
1283,65,662,2022-01-19,¿Qué te parece si creamos un torneo?
1284,65,770,2022-01-25,¡Esa fue una gran jugada!
1285,65,997,2022-01-28,No me carga tu descripcion :(
1286,65,987,2022-01-02,¡No puedo esperar para jugar de nuevo!
1287,65,714,2022-01-15,¡No puedo esperar para jugar de nuevo!
1288,65,671,2022-01-10,Echemonos algunas partidas al CSGO
1289,65,397,2022-01-29,¿Qué piensas de los gráficos del juego?
1290,65,345,2022-01-08,¿Has probado el nuevo personaje?
1291,65,563,2022-01-29,Gracias por el carreo
1292,65,606,2022-01-30,Agregame para jugar juntos :)
1293,65,483,2022-01-27,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1294,65,53,2022-01-22,¿Quieres jugar una partida?
1295,65,781,2022-01-01,¿Qué piensas de los gráficos del juego?
1296,65,107,2022-01-21,¿Quieres jugar de nuevo?
1297,65,250,2022-01-27,¿Qué te parece si nos agregamos como amigos?
1298,65,399,2022-01-01,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1299,65,470,2022-01-05,¡Eso estuvo muy cerca!
1300,65,2,2022-01-13,Muy cringe tu foto de perfil
1301,66,725,2022-01-19,Que perfil mas chulo
1302,66,503,2022-01-14,¡No puedo creer que ganamos esa partida!
1303,66,441,2022-01-15,¿Cuál es tu personaje más odiado?
1304,66,758,2022-01-09,¿Qué piensas de las últimas actualizaciones?
1305,66,887,2022-01-05,¿Qué piensas de los gráficos del juego?
1306,66,269,2022-01-15,¡No puedo esperar para jugar de nuevo!
1307,66,430,2022-01-11,¿Qué piensas de las últimas actualizaciones?
1308,66,550,2022-01-11,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1309,66,274,2022-01-05,Que perfil mas chulo
1310,66,31,2022-01-21,¿Quieres jugar una partida?
1311,66,686,2022-01-05,¿Has visto el último tráiler?
1312,66,475,2022-01-13,¿Te gustaría unirte a nuestro grupo de
1313,66,273,2022-01-25,¿Cómo has estado?
1314,66,257,2022-01-21,¿Qué te parece si jugamos en modo historia?
1315,66,914,2022-01-12,No jugueis con el le faltan manos
1316,66,334,2022-01-06,Algun dia me tienes que enseñar a jugar al Stardew Valley
1317,66,666,2022-01-14,¿Qué piensas de las últimas actualizaciones?
1318,66,856,2022-01-25,¡Eso estuvo muy cerca!
1319,66,445,2022-01-23,¿Has visto el último tráiler?
1320,66,551,2022-01-04,¡No puedo esperar para jugar de nuevo!
1321,67,668,2022-01-25,¿Quieres jugar de nuevo?
1322,67,420,2022-01-12,¡No puedo creer que ganamos esa partida!
1323,67,60,2022-01-12,¿Qué piensas de los gráficos del juego?
1324,67,953,2022-01-27,Como es posible que tengas tantas horas O:
1325,67,201,2022-01-19,¿Quieres jugar de nuevo?
1326,67,884,2022-01-02,Hola, ¿cómo estás?
1327,67,969,2022-01-16,¿Has visto la última actualización?
1328,67,372,2022-01-03,¿Qué piensas de las últimas actualizaciones?
1329,67,987,2022-01-07,¿Qué te parece si jugamos en modo historia?
1330,67,82,2022-01-02,¿Cómo te va en el juego?
1331,67,974,2022-01-15,¿Quieres jugar una partida?
1332,67,417,2022-01-15,¿Cómo te va en el juego?
1333,67,714,2022-01-20,No me puedo creer que tengas tan pocas horas
1334,67,973,2022-01-24,No jugueis con el le faltan manos
1335,67,979,2022-01-15,Muy cringe tu foto de perfil
1336,67,685,2022-01-10,Vete a recoger patatas
1337,67,993,2022-01-29,¡Eso fue épico!
1338,67,407,2022-01-01,¿Cuál es tu personaje más odiado?
1339,67,100,2022-01-05,No te rindas tienes potencial
1340,67,599,2022-01-21,Hola te acuerdas de mi? besis <oo>
1341,68,208,2022-01-26,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
1342,68,874,2022-01-10,Que perfil mas chulo
1343,68,231,2022-01-29,¿Quieres jugar de nuevo?
1344,68,757,2022-01-17,Hola te acuerdas de mi? besis <oo>
1345,68,865,2022-01-09,¿Cuál es tu mapa favorito?
1346,68,949,2022-01-22,¿Qué piensas de las habilidades especiales?
1347,68,972,2022-01-14,Hola, ¿cómo estás?
1348,68,695,2022-01-16,¡No puedo creer que ganamos esa partida!
1349,68,675,2022-01-26,¡Esa fue una gran partida!
1350,68,209,2022-01-13,¿Cómo has estado?
1351,68,774,2022-01-28,¿Qué piensas de los gráficos del juego?
1352,68,149,2022-01-23,No me carga tu descripcion :(
1353,68,795,2022-01-06,Que perfil mas chulo
1354,68,926,2022-01-19,¿Te gustaría jugar en grupo?
1355,68,472,2022-01-22,¡No puedo esperar para jugar de nuevo!
1356,68,839,2022-01-10,¿Te gustaría una revancha?
1357,68,675,2022-01-19,Hola, ¿cómo estás?
1358,68,543,2022-01-13,¿Cuál es tu estrategia favorita?
1359,68,650,2022-01-28,Hola, ¿cómo estás?
1360,68,396,2022-01-20,¿Cuál es tu personaje favorito?
1361,69,158,2022-01-09,¡Vamos a hacer un equipo imbatible!
1362,69,282,2022-01-17,No jugueis con el le faltan manos
1363,69,893,2022-01-07,¿Has visto el último tráiler?
1364,69,873,2022-01-05,¿Has visto el último tráiler?
1365,69,915,2022-01-23,No me carga tu descripcion :(
1366,69,156,2022-01-03,Algun dia me tienes que enseñar a jugar al Stardew Valley
1367,69,1000,2022-01-02,Gracias por el carreo
1368,69,722,2022-01-11,¡No puedo esperar para jugar de nuevo!
1369,69,137,2022-01-29,¿Cómo te va en el juego?
1370,69,158,2022-01-19,No jugueis con el le faltan manos
1371,69,321,2022-01-05,¿Qué te parece si creamos un torneo?
1372,69,225,2022-01-12,Me intercambias cromos?
1373,69,736,2022-01-24,¿Has probado el nuevo personaje?
1374,69,904,2022-01-09,¿Qué te parece si creamos un torneo?
1375,69,616,2022-01-04,¿Quieres jugar de nuevo?
1376,69,128,2022-01-24,¿Cuál es tu arma favorita?
1377,69,511,2022-01-23,¡Vamos a hacer un equipo imbatible!
1378,69,446,2022-01-08,¡Esa fue una gran partida!
1379,69,640,2022-01-02,¿Cuál es tu personaje más odiado?
1380,69,270,2022-01-20,¡No puedo esperar para jugar de nuevo!
1381,70,648,2022-01-17,+rep divertido jugar con el :D
1382,70,463,2022-01-21,¡Esa fue una gran jugada!
1383,70,937,2022-01-27,¿Te gustaría jugar en grupo?
1384,70,336,2022-01-10,¿Has visto el último tráiler?
1385,70,430,2022-01-24,Hola te acuerdas de mi? besis <oo>
1386,70,884,2022-01-14,¿Has visto la nueva arma?
1387,70,242,2022-01-08,¿Te gustaría una revancha?
1388,70,917,2022-01-07,No me puedo creer que tengas tan pocas horas
1389,70,346,2022-01-14,¿Quieres jugar una partida?
1390,70,116,2022-01-13,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1391,70,382,2022-01-17,Como es posible que tengas tantas horas O:
1392,70,875,2022-01-09,¿Has visto la última actualización?
1393,70,789,2022-01-08,Me intercambias cromos?
1394,70,205,2022-01-06,Algun dia me tienes que enseñar a jugar al Stardew Valley
1395,70,430,2022-01-28,Algun dia me tienes que enseñar a jugar al Stardew Valley
1396,70,684,2022-01-21,¡No puedo creer que ganamos esa partida!
1397,70,171,2022-01-29,Echemonos algunas partidas al CSGO
1398,70,182,2022-01-05,¿Qué piensas de la música del juego?
1399,70,588,2022-01-10,¿Qué te parece si jugamos en equipo?
1400,70,338,2022-01-21,¿Qué piensas de los gráficos del juego?
1401,71,180,2022-01-29,¿Te gustaría unirte a nuestro clan?
1402,71,456,2022-01-30,¿Te gustaría unirte a nuestro grupo de
1403,71,921,2022-01-16,¡Eso estuvo muy cerca!
1404,71,240,2022-01-28,¿Te gustaría unirte a nuestro grupo de
1405,71,96,2022-01-12,Camper tunneler -rep
1406,71,642,2022-01-14,¿Qué piensas de las últimas actualizaciones?
1407,71,71,2022-01-07,¿Qué piensas de los gráficos del juego?
1408,71,756,2022-01-06,No me carga tu descripcion :(
1409,71,367,2022-01-23,¿Has probado el nuevo personaje?
1410,71,984,2022-01-17,No me carga tu descripcion :(
1411,71,607,2022-01-02,¿Cómo te va en el juego?
1412,71,424,2022-01-06,¿Quieres jugar una partida?
1413,71,405,2022-01-01,¿Qué piensas de los gráficos del juego?
1414,71,573,2022-01-30,¡No puedo esperar para jugar de nuevo!
1415,71,344,2022-01-29,¿Qué te parece si creamos un torneo?
1416,71,447,2022-01-13,¿Te gustaría una revancha?
1417,71,955,2022-01-10,¡Vamos a hacer un equipo imbatible!
1418,71,986,2022-01-16,¿Qué te parece si creamos un torneo?
1419,71,583,2022-01-29,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1420,71,510,2022-01-30,¿Te gustaría unirte a nuestro clan?
1421,72,256,2022-01-17,¿Has visto la nueva arma?
1422,72,626,2022-01-23,¿Cómo has estado?
1423,72,603,2022-01-16,+rep divertido jugar con el :D
1424,72,904,2022-01-18,¿Qué piensas de la música del juego?
1425,72,518,2022-01-13,¿Qué te parece si creamos una estrategia?
1426,72,880,2022-01-01,¿Quieres jugar de nuevo?
1427,72,180,2022-01-26,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
1428,72,973,2022-01-25,Hola te acuerdas de mi? besis <oo>
1429,72,332,2022-01-29,Echemonos algunas partidas al CSGO
1430,72,645,2022-01-27,Como es posible que tengas tantas horas O:
1431,72,977,2022-01-06,¿Has probado el nuevo personaje?
1432,72,776,2022-01-20,+rep divertido jugar con el :D
1433,72,669,2022-01-13,¿Te gustaría unirte a nuestro grupo de
1434,72,958,2022-01-26,¿Cómo te va en el juego?
1435,72,729,2022-01-12,¿Qué te parece si creamos un torneo?
1436,72,292,2022-01-27,¿Quieres jugar una partida?
1437,72,195,2022-01-11,Echemonos algunas partidas al CSGO
1438,72,707,2022-01-07,¿Te gustaría una revancha?
1439,72,394,2022-01-23,¿Cómo te va en el juego?
1440,72,20,2022-01-29,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1441,73,524,2022-01-17,¡Esa fue una gran partida!
1442,73,546,2022-01-24,Me intercambias cromos?
1443,73,640,2022-01-22,¿Te gustaría una revancha?
1444,73,125,2022-01-08,¡Eso fue épico!
1445,73,868,2022-01-09,¿Qué te parece si jugamos en equipo?
1446,73,134,2022-01-05,¿Has visto la última actualización?
1447,73,737,2022-01-10,¡No puedo esperar para jugar de nuevo!
1448,73,931,2022-01-15,¡Esa fue una gran jugada!
1449,73,207,2022-01-21,¿Qué piensas de las últimas actualizaciones?
1450,73,382,2022-01-03,Hola, ¿cómo estás?
1451,73,211,2022-01-10,Que perfil mas chulo
1452,73,156,2022-01-03,¿Qué piensas de los gráficos del juego?
1453,73,9,2022-01-05,¿Qué piensas de las últimas actualizaciones?
1454,73,579,2022-01-14,No te rindas tienes potencial
1455,73,623,2022-01-05,Echemonos algunas partidas al CSGO
1456,73,724,2022-01-02,¿Qué te parece si nos agregamos como amigos?
1457,73,573,2022-01-27,Agregame para jugar juntos :)
1458,73,862,2022-01-15,¿Cómo te va en el juego?
1459,73,209,2022-01-22,¿Qué piensas de los gráficos del juego?
1460,73,931,2022-01-09,Como es posible que tengas tantas horas O:
1461,74,569,2022-01-15,Camper tunneler -rep
1462,74,314,2022-01-24,¿Cómo te va en el juego?
1463,74,972,2022-01-26,¿Te gustaría unirte a nuestro grupo de
1464,74,6,2022-01-17,¿Cómo te va en el juego?
1465,74,845,2022-01-05,¿Has probado el nuevo personaje?
1466,74,383,2022-01-28,¿Qué te parece si creamos una estrategia?
1467,74,277,2022-01-22,+rep divertido jugar con el :D
1468,74,594,2022-01-21,¿Qué piensas de los gráficos del juego?
1469,74,276,2022-01-01,¿Qué piensas de las últimas actualizaciones?
1470,74,543,2022-01-02,Gracias por el carreo
1471,74,881,2022-01-28,¿Cuál es tu personaje más odiado?
1472,74,218,2022-01-02,¡Eso fue épico!
1473,74,117,2022-01-24,¿Cuál es tu personaje favorito?
1474,74,943,2022-01-24,+rep divertido jugar con el :D
1475,74,485,2022-01-30,¡Eso fue épico!
1476,74,66,2022-01-04,Muy cringe tu foto de perfil
1477,74,630,2022-01-28,Muy cringe tu foto de perfil
1478,74,123,2022-01-05,¡Eso fue épico!
1479,74,366,2022-01-24,¿Qué te parece si jugamos en modo historia?
1480,74,244,2022-01-25,+rep divertido jugar con el :D
1481,75,708,2022-01-01,Algun dia me tienes que enseñar a jugar al Stardew Valley
1482,75,193,2022-01-20,¡Esa fue una gran jugada!
1483,75,940,2022-01-01,¡Esa fue una gran partida!
1484,75,381,2022-01-24,¿Te gustaría jugar en grupo?
1485,75,160,2022-01-21,Algun dia me tienes que enseñar a jugar al Stardew Valley
1486,75,655,2022-01-14,¿Quieres jugar de nuevo?
1487,75,165,2022-01-05,¡Esa fue una gran jugada!
1488,75,735,2022-01-18,+rep divertido jugar con el :D
1489,75,784,2022-01-24,¿Cuál es tu mapa favorito?
1490,75,377,2022-01-29,¿Qué piensas de las últimas actualizaciones?
1491,75,934,2022-01-10,¿Has visto la nueva arma?
1492,75,147,2022-01-08,¡No puedo esperar para jugar de nuevo!
1493,75,45,2022-01-04,+rep divertido jugar con el :D
1494,75,506,2022-01-02,¿Qué te parece si creamos una estrategia?
1495,75,498,2022-01-09,+rep divertido jugar con el :D
1496,75,360,2022-01-03,¡Vamos a hacer un equipo imbatible!
1497,75,57,2022-01-14,¿Cuál es tu arma favorita?
1498,75,401,2022-01-22,¡Vamos a hacer un equipo imbatible!
1499,75,322,2022-01-16,¿Qué piensas de la música del juego?
1500,75,135,2022-01-18,¿Cuál es tu personaje más odiado?
1501,76,233,2022-01-19,¿Te gustaría jugar en equipo?
1502,76,145,2022-01-18,¿Qué piensas de las habilidades especiales?
1503,76,371,2022-01-29,Hola, ¿cómo estás?
1504,76,182,2022-01-29,¿Qué piensas de las últimas actualizaciones?
1505,76,827,2022-01-28,Vete a recoger patatas
1506,76,717,2022-01-03,Agregame para jugar juntos :)
1507,76,795,2022-01-11,¿Qué te parece si creamos una estrategia?
1508,76,110,2022-01-03,¿Qué piensas de los gráficos del juego?
1509,76,682,2022-01-10,No me puedo creer que tengas tan pocas horas
1510,76,577,2022-01-01,No te rindas tienes potencial
1511,76,452,2022-01-04,¿Qué piensas de la música del juego?
1512,76,546,2022-01-09,Agregame para jugar juntos :)
1513,76,621,2022-01-21,¡Eso estuvo muy cerca!
1514,76,826,2022-01-11,Me intercambias cromos?
1515,76,298,2022-01-17,Camper tunneler -rep
1516,76,909,2022-01-12,Me intercambias cromos?
1517,76,607,2022-01-10,Hola, ¿cómo estás?
1518,76,4,2022-01-07,¿Qué piensas de las últimas actualizaciones?
1519,76,154,2022-01-18,¿Has visto la última actualización?
1520,76,27,2022-01-21,¡Esa fue una gran jugada!
1521,77,509,2022-01-12,¿Qué te parece si creamos una estrategia?
1522,77,976,2022-01-26,¿Quieres jugar una partida?
1523,77,708,2022-01-01,Muy cringe tu foto de perfil
1524,77,152,2022-01-19,¿Has visto la última actualización?
1525,77,50,2022-01-26,No te rindas tienes potencial
1526,77,350,2022-01-28,Camper tunneler -rep
1527,77,8,2022-01-30,¿Te gustaría jugar en grupo?
1528,77,137,2022-01-12,¿Te gustaría jugar en equipo?
1529,77,319,2022-01-19,¿Te gustaría unirte a nuestro clan?
1530,77,456,2022-01-10,¿Qué te parece si creamos una estrategia?
1531,77,713,2022-01-19,¿Te gustaría una revancha?
1532,77,60,2022-01-06,¿Qué te parece si jugamos en equipo?
1533,77,792,2022-01-15,¿Te gustaría unirte a nuestro clan?
1534,77,650,2022-01-16,¿Has probado el nuevo personaje?
1535,77,983,2022-01-07,Muy cringe tu foto de perfil
1536,77,82,2022-01-07,¡Eso fue épico!
1537,77,754,2022-01-27,Que perfil mas chulo
1538,77,834,2022-01-24,¿Te gustaría jugar en grupo?
1539,77,483,2022-01-15,Algun dia me tienes que enseñar a jugar al Stardew Valley
1540,77,454,2022-01-20,¿Qué te parece si creamos una estrategia?
1541,78,588,2022-01-14,¿Qué piensas de los gráficos del juego?
1542,78,557,2022-01-03,Hola, ¿cómo estás?
1543,78,241,2022-01-18,¿Te gustaría una revancha?
1544,78,67,2022-01-19,¿Cuál es tu mapa favorito?
1545,78,348,2022-01-12,¡Eso estuvo muy cerca!
1546,78,822,2022-01-23,¿Te gustaría jugar en equipo?
1547,78,760,2022-01-23,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
1548,78,609,2022-01-26,Muy cringe tu foto de perfil
1549,78,466,2022-01-01,¡Eso fue impresionante!
1550,78,135,2022-01-25,No me carga tu descripcion :(
1551,78,341,2022-01-06,¿Cuál es tu personaje favorito?
1552,78,934,2022-01-04,¿Cuál es tu estrategia favorita?
1553,78,381,2022-01-04,Muy cringe tu foto de perfil
1554,78,362,2022-01-11,¿Has visto la nueva arma?
1555,78,267,2022-01-22,¡Eso fue épico!
1556,78,759,2022-01-19,No jugueis con el le faltan manos
1557,78,337,2022-01-28,Me intercambias cromos?
1558,78,990,2022-01-05,¿Cómo te va en el juego?
1559,78,640,2022-01-03,¿Qué piensas de los gráficos del juego?
1560,78,771,2022-01-11,¿Has visto el último tráiler?
1561,79,436,2022-01-13,¿Te gustaría una revancha?
1562,79,591,2022-01-19,¿Has visto la última actualización?
1563,79,86,2022-01-29,Algun dia me tienes que enseñar a jugar al Stardew Valley
1564,79,154,2022-01-10,¿Te gustaría unirte a nuestro grupo de
1565,79,976,2022-01-25,Vete a recoger patatas
1566,79,817,2022-01-04,¡No puedo esperar para jugar de nuevo!
1567,79,72,2022-01-20,¡Vamos a hacer un equipo imbatible!
1568,79,416,2022-01-27,¿Has visto la última actualización?
1569,79,871,2022-01-26,¿Qué piensas de los gráficos del juego?
1570,79,760,2022-01-07,No te rindas tienes potencial
1571,79,170,2022-01-02,¿Te gustaría jugar en equipo?
1572,79,351,2022-01-12,¿Qué piensas de los gráficos del juego?
1573,79,511,2022-01-15,¿Te gustaría jugar en grupo?
1574,79,496,2022-01-28,Hola te acuerdas de mi? besis <oo>
1575,79,253,2022-01-22,¿Qué te parece si jugamos en modo historia?
1576,79,975,2022-01-06,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1577,79,744,2022-01-18,No te rindas tienes potencial
1578,79,717,2022-01-28,No me puedo creer que tengas tan pocas horas
1579,79,980,2022-01-04,¡No puedo creer que ganamos esa partida!
1580,79,396,2022-01-11,¿Cómo te va en el juego?
1581,80,407,2022-01-18,¿Qué piensas de las últimas actualizaciones?
1582,80,423,2022-01-15,¿Te gustaría jugar en grupo?
1583,80,809,2022-01-21,Que perfil mas chulo
1584,80,879,2022-01-16,Agregame para jugar juntos :)
1585,80,554,2022-01-09,No me puedo creer que tengas tan pocas horas
1586,80,801,2022-01-28,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1587,80,747,2022-01-09,¿Qué piensas de las últimas actualizaciones?
1588,80,702,2022-01-28,¡Eso fue impresionante!
1589,80,9,2022-01-03,GG
1590,80,451,2022-01-30,¡Esa fue una gran partida!
1591,80,469,2022-01-28,¿Has visto el último tráiler?
1592,80,342,2022-01-10,+rep divertido jugar con el :D
1593,80,6,2022-01-19,¡No puedo esperar para jugar de nuevo!
1594,80,780,2022-01-16,¿Has visto la nueva arma?
1595,80,672,2022-01-29,No me puedo creer que tengas tan pocas horas
1596,80,803,2022-01-26,No me puedo creer que tengas tan pocas horas
1597,80,522,2022-01-15,+rep divertido jugar con el :D
1598,80,411,2022-01-03,¿Quieres jugar de nuevo?
1599,80,331,2022-01-14,No me carga tu descripcion :(
1600,80,527,2022-01-25,¿Qué te parece si jugamos en modo historia?
1601,81,409,2022-01-05,¿Has visto la nueva arma?
1602,81,832,2022-01-02,¿Qué piensas de las últimas actualizaciones?
1603,81,653,2022-01-21,¡Vamos a hacer un equipo imbatible!
1604,81,385,2022-01-04,Muy cringe tu foto de perfil
1605,81,166,2022-01-05,¿Qué te parece si nos agregamos como amigos?
1606,81,780,2022-01-21,¿Qué piensas de las habilidades especiales?
1607,81,54,2022-01-25,¿Qué piensas de los gráficos del juego?
1608,81,936,2022-01-15,Vete a recoger patatas
1609,81,972,2022-01-14,Hola te acuerdas de mi? besis <oo>
1610,81,341,2022-01-21,¡Vamos a hacer un equipo imbatible!
1611,81,846,2022-01-18,¿Has visto la última actualización?
1612,81,803,2022-01-19,¿Cuál es tu personaje más odiado?
1613,81,898,2022-01-20,¿Cuál es tu arma favorita?
1614,81,118,2022-01-19,¿Qué te parece si nos agregamos como amigos?
1615,81,671,2022-01-30,¿Cuál es tu personaje más odiado?
1616,81,640,2022-01-17,¿Has visto la nueva arma?
1617,81,720,2022-01-27,¿Qué piensas de la música del juego?
1618,81,691,2022-01-03,¿Has visto la nueva arma?
1619,81,646,2022-01-26,¡Esa fue una gran partida!
1620,81,24,2022-01-06,Camper tunneler -rep
1621,82,540,2022-01-03,¿Qué piensas de la música del juego?
1622,82,628,2022-01-13,¿Qué te parece si jugamos en modo historia?
1623,82,958,2022-01-04,¿Cómo te va en el juego?
1624,82,197,2022-01-29,¡No puedo creer que ganamos esa partida!
1625,82,768,2022-01-21,¿Cuál es tu estrategia favorita?
1626,82,656,2022-01-08,¿Cuál es tu estrategia favorita?
1627,82,446,2022-01-15,¿Qué te parece si creamos un torneo?
1628,82,924,2022-01-26,¿Qué te parece si jugamos en equipo?
1629,82,70,2022-01-01,¿Quieres jugar de nuevo?
1630,82,532,2022-01-04,¿Has visto el último tráiler?
1631,82,109,2022-01-14,Agregame para jugar juntos :)
1632,82,923,2022-01-08,¿Te gustaría unirte a nuestro clan?
1633,82,7,2022-01-25,¿Cuál es tu personaje favorito?
1634,82,454,2022-01-05,¿Qué piensas de los gráficos del juego?
1635,82,569,2022-01-10,¡No puedo esperar para jugar de nuevo!
1636,82,240,2022-01-06,+rep divertido jugar con el :D
1637,82,877,2022-01-17,¿Qué te parece si nos agregamos como amigos?
1638,82,113,2022-01-02,¿Cuál es tu estrategia favorita?
1639,82,73,2022-01-11,+rep divertido jugar con el :D
1640,82,279,2022-01-04,¿Te gustaría una revancha?
1641,83,848,2022-01-20,¿Cuál es tu personaje más odiado?
1642,83,171,2022-01-12,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
1643,83,73,2022-01-05,¿Qué piensas de la música del juego?
1644,83,141,2022-01-05,¡Vamos a hacer un equipo imbatible!
1645,83,704,2022-01-02,¿Qué te parece si nos agregamos como amigos?
1646,83,992,2022-01-05,Muy cringe tu foto de perfil
1647,83,564,2022-01-21,¿Quieres jugar de nuevo?
1648,83,229,2022-01-20,Camper tunneler -rep
1649,83,806,2022-01-18,Muy cringe tu foto de perfil
1650,83,10,2022-01-12,¿Quieres jugar de nuevo?
1651,83,456,2022-01-27,¡Eso fue épico!
1652,83,685,2022-01-20,¡Eso estuvo muy cerca!
1653,83,449,2022-01-17,¿Qué te parece si nos agregamos como amigos?
1654,83,644,2022-01-21,¿Qué te parece si creamos un torneo?
1655,83,18,2022-01-16,¿Cuál es tu mapa favorito?
1656,83,94,2022-01-25,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1657,83,198,2022-01-22,¿Cuál es tu mapa favorito?
1658,83,886,2022-01-28,Hola te acuerdas de mi? besis <oo>
1659,83,524,2022-01-30,¿Has visto la última actualización?
1660,83,854,2022-01-15,¿Qué piensas de la música del juego?
1661,84,431,2022-01-11,¿Has visto la última actualización?
1662,84,658,2022-01-29,¿Cuál es tu arma favorita?
1663,84,409,2022-01-18,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
1664,84,493,2022-01-14,¡Esa fue una gran partida!
1665,84,523,2022-01-26,Echemonos algunas partidas al CSGO
1666,84,930,2022-01-18,¿Has visto la nueva arma?
1667,84,964,2022-01-17,¡Esa fue una gran jugada!
1668,84,650,2022-01-27,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1669,84,644,2022-01-04,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
1670,84,835,2022-01-16,Como es posible que tengas tantas horas O:
1671,84,68,2022-01-25,Hola te acuerdas de mi? besis <oo>
1672,84,267,2022-01-05,Como es posible que tengas tantas horas O:
